Date,Close,High,Low,Open,Volume,RSI,SMA_50,SMA_200,Target
2024-12-09 23:00:00+00:00,97485.7265625,97496.484375,96807.0234375,97018.1953125,554811392,44.17596311486052,99220.93296875,98277.16132812499,1
2024-12-10 00:00:00+00:00,97888.015625,98115.53125,97080.9140625,97391.328125,0,46.97208425344119,99182.22109375,98280.53265625,1
2024-12-10 01:00:00+00:00,98014.2421875,98088.28125,97603.7578125,97891.5390625,665968640,47.85465095160324,99144.21281249999,98283.743046875,0
2024-12-10 02:00:00+00:00,96904.1484375,97991.65625,96904.1484375,97991.65625,444170240,41.33849816562372,99081.37140625,98282.26335937499,0
2024-12-10 03:00:00+00:00,96785.578125,96963.2578125,95795.140625,96773.4921875,3627892736,40.7010083296472,99019.45796875,98279.9941015625,1
2024-12-10 04:00:00+00:00,97073.5078125,97097.5,96069.75,96962.1484375,994238464,42.99975166349578,98957.41640625,98279.7451171875,0
2024-12-10 05:00:00+00:00,96963.7890625,97072.3125,96585.4140625,97072.3125,1043906560,42.32641273219667,98896.68765625,98275.4237109375,1
2024-12-10 06:00:00+00:00,97448.765625,97453.859375,96907.328125,96969.9140625,648577024,46.32720989165622,98848.135625,98274.443828125,0
2024-12-10 07:00:00+00:00,97210.4140625,97473.234375,96944.0625,97473.234375,0,44.6865144017001,98800.875,98274.0601953125,1
2024-12-10 08:00:00+00:00,97476.171875,97498.84375,97044.4296875,97216.984375,0,46.9427741634969,98755.6053125,98273.750625,1
2024-12-10 09:00:00+00:00,97482.484375,97650.4921875,97289.2578125,97433.4375,0,46.998077295840204,98710.14875000001,98270.848515625,1
2024-12-10 10:00:00+00:00,97677.828125,97878.2421875,97508.234375,97508.234375,0,48.77737981871793,98681.33078125,98270.668671875,1
2024-12-10 11:00:00+00:00,97868.921875,97905.234375,97513.6484375,97699.3828125,140959744,50.527055576143155,98659.3109375,98276.839765625,0
2024-12-10 12:00:00+00:00,97112.9921875,97852.84375,96948.5703125,97820.65625,0,44.10849523430852,98614.37859375,98278.65105468749,1
2024-12-10 13:00:00+00:00,97790.6796875,97912.9140625,97163.4921875,97163.4921875,349257728,50.214401423129914,98574.8253125,98285.43523437498,0
2024-12-10 14:00:00+00:00,97690.3828125,98234.03125,97355.046875,97766.34375,778141696,49.35503496433016,98528.45375,98291.98289062499,0
2024-12-10 15:00:00+00:00,95689.046875,98078.3046875,95689.046875,97842.2265625,0,36.08450790850953,98432.2434375,98290.1082421875,1
2024-12-10 16:00:00+00:00,96407.015625,96407.015625,94598.3359375,95701.6171875,3501555712,42.099176209915655,98363.3871875,98296.432265625,0
2024-12-10 17:00:00+00:00,94701.4765625,96358.4921875,94434.3515625,96358.4921875,4321673216,33.93072837953183,98258.24250000001,98292.107265625,1
2024-12-10 18:00:00+00:00,95101.9140625,95505.5859375,94383.078125,94558.8359375,1637163008,37.02047643059751,98162.225625,98292.9002734375,1
2024-12-10 19:00:00+00:00,95926.375,96168.2734375,95017.75,95115.65625,0,42.937389759657684,98080.40703125,98296.669765625,1
2024-12-10 20:00:00+00:00,96556.640625,96645.7421875,95666.8984375,95904.2265625,0,47.034057677201695,98015.24484375,98304.5207421875,1
2024-12-10 21:00:00+00:00,96950.09375,97238.9140625,96505.15625,96505.15625,0,49.472759851131,97954.63718749999,98310.9939453125,0
2024-12-10 22:00:00+00:00,96944.890625,97145.9609375,96699.3046875,96878.546875,0,49.44034086248673,97895.66999999998,98314.125234375,0
2024-12-10 23:00:00+00:00,96681.9140625,97164.0546875,96614.171875,96972.546875,0,47.73766505631581,97828.67171874999,98311.533203125,0
2024-12-11 00:00:00+00:00,96456.8828125,96868.859375,95978.1875,96652.28125,60260352,46.26923488723934,97751.86437499999,98312.386015625,0
2024-12-11 01:00:00+00:00,95796.8515625,96639.4609375,95796.8515625,96446.5859375,243261440,42.17172645991745,97640.8671875,98318.14613281249,1
2024-12-11 02:00:00+00:00,97243.4609375,97458.390625,95819.0234375,95819.0234375,276987904,52.169511869486435,97592.04359375,98325.75105468748,1
2024-12-11 03:00:00+00:00,97435.21875,97611.1171875,97212.5234375,97254.671875,0,53.32154904695231,97549.0265625,98333.80601562498,1
2024-12-11 04:00:00+00:00,97580.1328125,97605.625,97234.0078125,97408.84375,0,54.218956185745824,97515.27375000001,98343.33691406249,0
2024-12-11 05:00:00+00:00,97538.7109375,97664.5703125,97376.046875,97591.828125,0,53.89997464526286,97484.04015625,98353.48820312499,1
2024-12-11 06:00:00+00:00,97709.546875,97744.25,97488.890625,97540.140625,0,55.07391791391781,97449.48984375001,98365.0394921875,0
2024-12-11 07:00:00+00:00,97404.828125,97807.3203125,97307.671875,97704.1171875,0,52.50555818502255,97407.98203125001,98372.8073046875,1
2024-12-11 08:00:00+00:00,98134.6953125,98486.7578125,97381.1484375,97417.40625,708558848,57.60532725670197,97387.92656250001,98384.1757421875,0
2024-12-11 09:00:00+00:00,97970.671875,98167.96875,97821.5234375,98167.96875,0,56.14626001003795,97355.32218750002,98396.36269531249,1
2024-12-11 10:00:00+00:00,98239.71875,98296.640625,97930.640625,98027.796875,0,58.02435173187103,97341.9334375,98407.425859375,1
2024-12-11 11:00:00+00:00,98332.5703125,98455.765625,98192.0234375,98238.1953125,126787584,58.68200256284862,97337.63546875,98418.621953125,0
2024-12-11 12:00:00+00:00,98300.234375,98496.9453125,98227.8359375,98330.5078125,0,58.33920369278846,97329.30046875,98430.482109375,1
2024-12-11 13:00:00+00:00,98711.078125,98880.71875,98141.890625,98303.234375,0,61.42269186518839,97343.0828125,98443.233125,1
2024-12-11 14:00:00+00:00,99579.8671875,99579.8671875,98484.25,98752.7734375,0,66.9871193318444,97363.80374999999,98463.046171875,1
2024-12-11 15:00:00+00:00,100446.09375,100731.921875,99538.0078125,99585.671875,1886724096,71.41440581398508,97391.78453125,98487.1077734375,1
