Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2024-12-01 16:00:00+00:00,97213.75,97397.1328125,97085.2265625,97105.671875,0
2024-12-01 17:00:00+00:00,97372.1640625,97372.1640625,97149.8359375,97263.390625,251416576
2024-12-01 18:00:00+00:00,97200.0859375,97555.96875,97182.9453125,97367.9921875,444526592
2024-12-01 19:00:00+00:00,97239.4296875,97338.8203125,97060.7109375,97187.6640625,453564416
2024-12-01 20:00:00+00:00,97123.3046875,97230.7109375,96892.0625,97230.7109375,670851072
2024-12-01 21:00:00+00:00,97828.0703125,97828.0703125,97128.65625,97150.0703125,737458176
2024-12-01 22:00:00+00:00,97644.7421875,97856.2109375,97440.65625,97835.390625,600784896
2024-12-01 23:00:00+00:00,97287.140625,97786.78125,97287.140625,97623.84375,990576640
2024-12-02 00:00:00+00:00,97538.0859375,97665.7578125,97200.3046875,97280.265625,1133498368
2024-12-02 01:00:00+00:00,98062.90625,98140.4453125,97494.4765625,97545.59375,1076203520
2024-12-02 02:00:00+00:00,97713.796875,98066.8046875,97535.34375,98052.0,0
2024-12-02 03:00:00+00:00,96634.703125,97707.390625,96540.296875,97707.390625,880123904
2024-12-02 04:00:00+00:00,96750.734375,96851.1015625,96229.5546875,96555.3984375,2691248128
2024-12-02 05:00:00+00:00,96433.84375,96944.015625,96433.84375,96761.546875,810487808
2024-12-02 06:00:00+00:00,96380.8515625,96422.2890625,96189.1640625,96421.171875,937906176
2024-12-02 07:00:00+00:00,96063.9765625,96515.421875,95852.953125,96341.8203125,1767444480
2024-12-02 08:00:00+00:00,95142.2109375,96141.3828125,94951.3046875,96038.1796875,1364258816
2024-12-02 09:00:00+00:00,95566.4765625,95566.4765625,95037.53125,95106.0,1661849600
2024-12-02 10:00:00+00:00,94943.3125,95544.0859375,94862.109375,95544.0859375,1483354112
2024-12-02 11:00:00+00:00,95172.4765625,95305.71875,94896.5546875,94986.3046875,1687703552
2024-12-02 12:00:00+00:00,94986.4453125,95401.3046875,94877.0625,95142.2421875,1062510592
2024-12-02 13:00:00+00:00,95655.453125,95777.578125,94885.625,94989.390625,1041358848
2024-12-02 14:00:00+00:00,96318.6328125,96764.5234375,95598.21875,95700.84375,2143084544
2024-12-02 15:00:00+00:00,97200.3203125,97262.6875,95999.4609375,96376.8828125,4108025856
2024-12-02 16:00:00+00:00,96286.3203125,97382.3515625,96106.1171875,97164.765625,3213963264
